game_id,scheduled_time,team_id,team_name,player_id,player_name,pts,fgm,fga,3pm,3pa,ftm,fta,oreb,dreb,ast,tov,stl,blk,pf
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,BBC Ballers,bbcballers-arthur,Arthur,9,4,17,1,7,0,0,0,0,2,1,0,0,1
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,BBC Ballers,lions-mychelle,Mychelle,5,2,14,0,2,1,2,3,5,0,2,2,1,1
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,BBC Ballers,bbcballers-james,James,4,1,5,1,2,1,2,2,4,0,2,0,0,1
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,BBC Ballers,bbcballers-lisa,Lisa,4,2,13,0,0,0,2,1,2,0,3,1,0,0
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,BBC Ballers,kissmygrass-steph,Steph-Kansas,2,1,6,0,0,0,0,2,2,0,0,0,0,0
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,bbcballers,BBC Ballers,bbcballers-suheil,Suheil,0,0,3,0,1,0,0,3,8,0,3,1,0,2
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,Camden Hells,rockets-malachi,Malachi,20,10,19,0,0,0,3,8,22,2,3,3,5,3
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,Camden Hells,camdenhells-levent,Levent,14,6,15,1,4,1,2,1,1,3,5,2,0,1
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,Camden Hells,camdenhells-davidgalindo,David Galindo,5,2,9,0,1,1,2,4,7,3,3,2,1,0
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,Camden Hells,camdenhells-aimee,Aimee,4,2,4,0,0,0,0,1,1,0,1,0,0,1
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,Camden Hells,camdenhells-lauren,Lauren,2,1,7,0,0,0,0,0,2,1,0,0,0,2
20190926-1930-camdenhells-bbcballers,2019-09-26 19:30:00,camdenhells,Camden Hells,rockets-anna,Anna,2,1,5,0,0,0,0,2,1,1,0,1,1,1
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,burritos,Burritos,burritos-wouter,Wouter,20,8,14,0,0,4,7,5,11,0,3,0,0,2
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,burritos,Burritos,burritos-stuart,Stuart,11,4,12,2,7,1,2,0,2,0,0,0,0,0
20190926-2015-burritos-dropbears,2019-09-26 20:15:00,burritos,Burritos,burritos-sylwia,Sylwia,9,4,8,0,0,1,2,2,0,0,0,1,0,1
