id,name
1,Supernova
2,Upper Street Ballers
3,Camden Hells
4,Pentonville Pacers
5,Ocelots
6,Rockets
7,Islington Devils
8,Shoreditch Shooters
9,N1 JAM
10,Lost Angels
11,Burritos
12,Old OS Ocelots
13,Green Machine
14,RELOADED
15,Alley-Oops
16,Halo Hoops
17,Amazon Warriors
18,Dropbears
19,Net Rippers
20,Lions
21,"Michelle Blow's Team"
22,BBC Ballers
23,Cyborgs
24,Backslashes
25,Hot Shots
26,North London Lions
