game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,player_id,enthusiasm_rating,pir
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,0,9,0,0,0,0,0,0,1,1,0,1,2,0,0,bbcballers-lisa,13,-9
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,bbcballers-saulius,2,0
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,0,0,0,0,0,0,0,1,6,7,1,1,1,1,2,bbcballers-suhail,13,7
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,2,10,0,2,0,0,4,1,4,5,0,1,0,0,1,lions-foley,17,1
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,4,13,4,8,0,0,12,1,0,1,0,1,2,0,0,lions-mychelle,17,3
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,3,9,0,0,0,0,6,0,1,1,1,1,3,0,0,rockets-anna,15,0
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,rockets-daisy,4,0
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,9,12,0,1,6,9,24,1,1,2,2,3,3,0,0,rockets-darnell,31,22
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,6,11,0,0,1,2,13,3,7,10,0,3,1,1,2,rockets-malachi,30,18
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,1,3,0,1,0,2,2,3,6,9,6,0,2,0,1,rockets-marc,23,10
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,0,4,0,0,0,0,0,1,2,3,3,1,2,1,0,rockets-patricia,14,2
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,3,11,0,0,0,0,6,7,2,9,0,1,0,1,4,rockets-thriston,26,5
20190808-2100-lions-lostangels,1,lostangels,lions,0,4,0,2,0,0,0,0,2,2,1,2,4,0,0,lostangels-aldis,13,-3
20190808-2100-lions-lostangels,1,lostangels,lions,6,9,0,0,1,4,13,5,6,11,1,0,1,0,0,lostangels-carlos,26,18
20190808-2100-lions-lostangels,1,lostangels,lions,0,4,0,0,0,0,0,1,1,2,1,0,1,0,0,lostangels-carlotta,8,-2
20190808-2100-lions-lostangels,1,lostangels,lions,0,5,0,4,0,0,0,1,0,1,0,2,0,0,0,lostangels-daria,8,-2
20190808-2100-lions-lostangels,1,lostangels,lions,1,6,0,1,0,0,2,2,1,3,5,2,4,2,2,lostangels-jazeps,24,3
20190808-2100-lions-lostangels,1,lostangels,lions,1,3,0,0,0,0,2,0,3,3,0,1,2,0,1,lostangels-john,10,1
