team,player,fg*,3pt,ft,oreb,dreb,foul,stl,to,blk,asst,+/-,min,pts
burritos,burritos-alex,10-17,1-5,4-6,2,3,0,3,2,0,2,38,0,25
burritos,burritos-allen,4-13,3-8,1-2,4,4,0,2,0,0,2,39,0,12
burritos,dropbears-mary,5-15,0-3,1-4,0,3,0,2,3,0,1,43,0,11
burritos,lostangels-rolands,1-2,0-0,0-0,1,5,0,0,0,0,0,23,0,2
burritos,burritos-armelle,0-2,0-0,0-0,2,1,0,0,0,0,0,43,0,0
burritos,burritos-stuart,0-8,0-5,0-0,1,8,0,0,1,1,3,29,0,0
burritos,burritos,20-57,4-21,6-12,10,24,0,7,6,1,8,-,-,50
