season_id,game_id,side_id,team_id,opp_team_id,fgm,fga,threeptm,threepta,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,fc,twoptm,twopta,opp_twoptm,opp_twopta,fd,blka,opp_fd,opp_fc,opp_blk,opp_blka,outcome,opp_fgm,opp_fga,opp_threeptm,opp_threepta,opp_ftm,opp_fta,opp_pts,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_tov,pir,opp_pir,num_players,opp_num_players
24,20190829-2015-burritos-camdenhells,1,camdenhells,burritos,22,55,1,5,1,2,46,5,19,24,14,8,10,3,5,21,50,18,37,3,0,5,3,0,3,d,28,54,10,17,5,6,71,7,28,35,22,8,11,46,95,7,7
24,20190829-2100-bbcballers-lions,0,bbcballers,lions,13,58,7,19,0,2,33,5,22,27,8,6,15,1,5,6,39,30,78,3,3,5,3,3,1,d,30,81,0,3,8,10,68,29,41,70,19,10,11,8,103,7,6
24,20190829-2100-bbcballers-lions,1,lions,bbcballers,30,81,0,3,8,10,68,29,41,70,19,10,11,3,3,30,78,6,39,5,1,3,5,1,3,w,13,58,7,19,0,2,33,5,22,27,8,6,15,103,8,6,7
24,20190905-1845-bbcballers-lostangels,0,bbcballers,lostangels,6,44,1,8,2,4,15,7,19,26,1,1,15,0,4,5,36,23,54,5,7,4,5,7,0,d,26,65,3,11,3,7,58,13,26,39,20,12,7,-16,81,,7
24,20190905-1845-bbcballers-lostangels,1,lostangels,bbcballers,26,65,3,11,3,7,58,13,26,39,20,12,7,7,5,23,54,5,36,4,0,5,4,0,7,w,6,44,1,8,2,4,15,7,19,26,1,1,15,81,-16,7,
24,20190905-2015-burritos-greenmachine,0,burritos,greenmachine,20,49,6,17,3,6,49,7,26,33,12,6,14,0,5,14,32,18,45,9,1,5,9,1,0,w,21,55,3,10,2,7,47,11,23,34,10,10,12,49,42,6,8
24,20190905-2015-burritos-greenmachine,1,greenmachine,burritos,21,55,3,10,2,7,47,11,23,34,10,10,12,1,9,18,45,14,32,5,0,9,5,0,1,d,20,49,6,17,3,6,49,7,26,33,12,6,14,42,49,8,6
24,20190919-1845-burritos-bbcballers,0,burritos,bbcballers,31,68,5,14,3,6,70,18,22,40,21,13,8,3,5,26,54,11,40,4,0,5,4,0,3,w,14,49,3,9,2,4,33,11,15,26,4,4,16,94,10,6,6
24,20190919-1845-burritos-bbcballers,1,bbcballers,burritos,14,49,3,9,2,4,33,11,15,26,4,4,16,0,4,11,40,26,54,5,3,4,5,3,0,d,31,68,5,14,3,6,70,18,22,40,21,13,8,10,94,6,6
24,20190919-2015-lostangels-dropbears,0,lostangels,dropbears,14,45,1,11,4,8,33,8,24,32,8,3,15,5,8,13,34,9,31,7,2,8,7,2,5,d,15,44,6,13,6,9,42,4,10,14,4,6,6,23,23,8,
