game_id,side_id,player_id
20190926-2015-burritos-dropbears,0,burritos-alex
20190926-2015-burritos-dropbears,0,burritos-allen
20190926-2015-burritos-dropbears,0,burritos-armelle
20190926-2015-burritos-dropbears,0,burritos-stuart
20190926-2015-burritos-dropbears,0,burritos-suzi
20190926-2015-burritos-dropbears,0,burritos-sylwia
20190926-2015-burritos-dropbears,0,burritos-tom
20190926-2015-burritos-dropbears,0,burritos-wouter
20190926-2015-burritos-dropbears,1,dropbears-ed
20190926-2015-burritos-dropbears,1,dropbears-hayley
20190926-2015-burritos-dropbears,1,dropbears-martin
20190926-2015-burritos-dropbears,1,dropbears-mary
20190926-2015-burritos-dropbears,1,dropbears-p2
20190926-2015-burritos-dropbears,1,dropbears-ray
20190926-2015-burritos-dropbears,1,lions-mychelle
20190926-2100-lostangels-lions,0,lostangels-aldis
20190926-2100-lostangels-lions,0,lostangels-carlos
20190926-2100-lostangels-lions,0,lostangels-daria
20190926-2100-lostangels-lions,0,lostangels-jazeps
20190926-2100-lostangels-lions,0,lostangels-rob
20190926-2100-lostangels-lions,0,lostangels-rolands
20190926-2100-lostangels-lions,1,lions-diego
20190926-2100-lostangels-lions,1,lions-gus
20190926-2100-lostangels-lions,1,lions-kata
20190926-2100-lostangels-lions,1,lions-mychelle
20190926-2100-lostangels-lions,0,saturdays-claire
20190919-2100-lions-greenmachine,0,lions-foley
20190919-2100-lions-greenmachine,0,lions-gus
20190919-2100-lions-greenmachine,0,lions-mychelle
20190919-2100-lions-greenmachine,1,greenmachine-ahmed
20190919-2100-lions-greenmachine,1,greenmachine-alex
20190919-2100-lions-greenmachine,1,greenmachine-alison
20190919-2100-lions-greenmachine,1,greenmachine-andris
20190919-2100-lions-greenmachine,1,greenmachine-david
20190919-2100-lions-greenmachine,1,greenmachine-iestyn
20190919-2100-lions-greenmachine,1,greenmachine-marina
20190919-2100-lions-greenmachine,1,greenmachine-victoria
20190926-2100-lostangels-lions,1,lions-foley
20190926-2100-lostangels-lions,1,lions-telle
20190926-2100-lostangels-lions,1,camdenhells-lauren
20190926-1845-rockets-greenmachine,0,rockets-anna
20190926-1845-rockets-greenmachine,0,rockets-janis
20190926-1845-rockets-greenmachine,0,rockets-malachi
20190926-1845-rockets-greenmachine,0,rockets-marc
20190926-1845-rockets-greenmachine,0,rockets-paul
20190926-1845-rockets-greenmachine,1,greenmachine-ahmed
20190926-1845-rockets-greenmachine,1,greenmachine-alex
20190926-1845-rockets-greenmachine,1,greenmachine-alison
20190926-1845-rockets-greenmachine,1,greenmachine-david
20190926-1845-rockets-greenmachine,1,greenmachine-iestyn
20190926-1845-rockets-greenmachine,1,greenmachine-marina
20190926-1845-rockets-greenmachine,1,greenmachine-victoria
20190919-1930-rockets-camdenhells,0,rockets-anna
20190919-1930-rockets-camdenhells,0,rockets-darnell
20190919-1930-rockets-camdenhells,0,rockets-janis
20190919-1930-rockets-camdenhells,0,rockets-malachi
20190919-1930-rockets-camdenhells,0,rockets-marc
20190919-1930-rockets-camdenhells,0,rockets-patricia
20190919-1930-rockets-camdenhells,0,rockets-paul
20190919-1930-rockets-camdenhells,0,rockets-thriston
20190919-1930-rockets-camdenhells,1,camdenhells-amy
20190919-1930-rockets-camdenhells,1,camdenhells-davidgalindo
20190919-1930-rockets-camdenhells,1,camdenhells-lauren
20190919-1930-rockets-camdenhells,1,camdenhells-levent
20190919-1930-rockets-camdenhells,1,camdenhells-sean
20190919-1930-rockets-camdenhells,1,lostangels-sophie
20190919-1930-rockets-camdenhells,1,rockets-malachi
20190926-1845-rockets-greenmachine,1,greenmachine-sergio
20190926-1845-rockets-greenmachine,1,greenmachine-andris
20190926-1845-rockets-greenmachine,0,rockets-alex
20190926-1845-rockets-greenmachine,0,camdenhells-amy
20190926-1930-camdenhells-bbcballers,0,camdenhells-amy
20190926-1930-camdenhells-bbcballers,0,camdenhells-davidgalindo
20190926-1930-camdenhells-bbcballers,0,camdenhells-lauren
20190926-1930-camdenhells-bbcballers,0,camdenhells-levent
20190926-1930-camdenhells-bbcballers,0,rockets-malachi
20190926-1930-camdenhells-bbcballers,1,bbcballers-arthur
20190926-1930-camdenhells-bbcballers,1,bbcballers-james
20190926-1930-camdenhells-bbcballers,1,bbcballers-lisa
20190926-1930-camdenhells-bbcballers,1,bbcballers-suhail
20190926-1930-camdenhells-bbcballers,0,rockets-anna
20190926-1930-camdenhells-bbcballers,1,lions-mychelle
20190926-1930-camdenhells-bbcballers,1,kissmygrass-steph
20190919-1845-burritos-bbcballers,0,burritos-allen
20190919-1845-burritos-bbcballers,1,bbcballers-suhail
20190919-1845-burritos-bbcballers,1,bbcballers-arthur
20190919-1845-burritos-bbcballers,0,burritos-armelle
20190919-1845-burritos-bbcballers,0,burritos-sylwia
20190919-1845-burritos-bbcballers,0,burritos-wouter
20190919-1845-burritos-bbcballers,0,burritos-tom
20190919-1845-burritos-bbcballers,1,bbcballers-james
20190919-1845-burritos-bbcballers,1,bbcballers-saulius
