game_id,team_id,side_id,opp_team_id,possession_id,first_event_id,first_event_type,first_player_id,first_on_court_player_id,cause_type,resolution_type,resolution_is_turnover,last_player_id,points_scored,opp_points_scored_next,second_chance_pts,is_after_turnover,dribbles,passes,passes_incl_inbounds,players_involved,players_involved_incl_inbounders,oreb,true_fga,true_threepta,fta,p1,p2,p3,p4,p5,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,82,e53e474b-9c36-4091-8a66-beeba84ff9f7,PlayerControl,burritos-wouter,burritos-wouter,ThreePointShotMissed,BadPass,1,burritos-tom,0,0,0,0,1,3,3,4,4,0,0,0,0,burritos-alex,dropbears-mary,burritos-wouter,burritos-sylwia,burritos-tom,saturdays-jo,greenmachine-alison,greenmachine-jayd,greenmachine-basel,greenmachine-alex
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,83,c5cd56b2-e089-4249-8ee9-142d4b79c3f1,Steal,greenmachine-alex,greenmachine-alex,BadPass,TwoPointShotMissed,0,greenmachine-jayd,0,0,0,1,1,3,3,4,4,0,1,0,0,saturdays-jo,greenmachine-alison,greenmachine-jayd,greenmachine-basel,greenmachine-alex,burritos-alex,dropbears-mary,burritos-wouter,burritos-sylwia,burritos-tom
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,84,2dd5c4d1-6a71-4117-bbc7-4c6853f78fd2,PlayerControl,burritos-tom,burritos-tom,TwoPointShotMissed,ThreePointShotMissed,0,burritos-stuart,0,0,0,0,2,1,1,2,2,0,1,1,0,dropbears-mary,burritos-wouter,burritos-sylwia,burritos-tom,burritos-stuart,saturdays-jo,greenmachine-alison,greenmachine-jayd,greenmachine-basel,greenmachine-alex
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,85,ddb39192-56a2-4e6a-bff4-47b5f664d4bf,PlayerControl,greenmachine-alex,greenmachine-alex,ThreePointShotMissed,ThreePointShotMissed,0,greenmachine-jayd,0,2,0,0,2,3,3,3,3,0,1,1,0,saturdays-jo,greenmachine-alison,greenmachine-jayd,greenmachine-basel,greenmachine-alex,dropbears-mary,burritos-wouter,burritos-sylwia,burritos-tom,burritos-stuart
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,86,1ec17c14-eb4c-425b-bf81-85211a75f500,PlayerControl,burritos-tom,burritos-tom,ThreePointShotMissed,FreeThrowMade,0,burritos-wouter,2,0,0,0,1,2,2,3,3,0,1,0,2,dropbears-mary,burritos-wouter,burritos-sylwia,burritos-tom,burritos-stuart,saturdays-jo,greenmachine-alison,greenmachine-jayd,greenmachine-basel,greenmachine-alex
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,87,71ecbd1e-649f-410b-8380-2465de2208e3,ThrowIn,greenmachine-ahmed,greenmachine-ahmed,FreeThrowMade,BadPass,1,greenmachine-ahmed,0,0,0,0,1,0,0,0,1,0,0,0,0,saturdays-jo,greenmachine-alison,greenmachine-basel,greenmachine-alex,greenmachine-ahmed,dropbears-mary,burritos-wouter,burritos-sylwia,burritos-tom,burritos-stuart
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,88,7daa63b7-e0cf-436b-83f8-90f97ee31216,Steal,burritos-tom,burritos-tom,BadPass,ThreePointShotMissed,0,burritos-tom,0,0,0,1,0,2,2,2,2,0,1,1,0,dropbears-mary,burritos-sylwia,burritos-tom,burritos-stuart,burritos-allen,saturdays-jo,greenmachine-alison,greenmachine-basel,greenmachine-alex,greenmachine-ahmed
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,89,0ffce0fb-b947-4849-9247-15a5ca947a34,PlayerControl,greenmachine-ahmed,greenmachine-ahmed,ThreePointShotMissed,TwoPointShotMissed,0,greenmachine-ahmed,0,0,0,0,2,1,2,2,2,2,3,0,0,saturdays-jo,greenmachine-alison,greenmachine-basel,greenmachine-alex,greenmachine-ahmed,dropbears-mary,burritos-sylwia,burritos-allen,burritos-wouter,burritos-tom
20191031-1930-greenmachine-burritos,burritos,1,greenmachine,90,a50457be-1830-430b-9d55-66add1b372ac,PlayerControl,burritos-tom,burritos-tom,TwoPointShotMissed,BadPass,1,burritos-wouter,0,2,0,0,3,3,3,3,3,0,0,0,0,dropbears-mary,burritos-sylwia,burritos-wouter,burritos-tom,burritos-alex,saturdays-jo,greenmachine-alison,greenmachine-basel,greenmachine-alex,greenmachine-ahmed
20191031-1930-greenmachine-burritos,greenmachine,0,burritos,91,2535244f-7e8c-49ae-adbe-378ab03540d3,ThrowIn,greenmachine-ahmed,greenmachine-basel,BadPass,TwoPointShotMade,0,greenmachine-ahmed,2,2,2,1,4,5,6,4,4,1,2,0,0,saturdays-jo,greenmachine-basel,greenmachine-alex,greenmachine-ahmed,greenmachine-victoria,dropbears-mary,burritos-sylwia,burritos-wouter,burritos-tom,burritos-alex
