game_id,team_id,player_id,side_id,opp_team_id,game_version,pts,fgm,fga,fgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,plus_minus_pts,seconds_played,plus_minus_reb,plus_minus_ast,plus_minus_stl,plus_minus_tov,plus_minus_fc,outcome
20191017-2015-camdenhells-lostangels,lostangels,lostangels-sophie,1,camdenhells,4660,6,3,6,50.0,3,4,75.0,0,2,0,0,0,0,1,3,4,3,1,0,1,0,0,0,0,0,0,0,10,22,0,12,9,-3,2,2,w
20191017-2100-greenmachine-lions,greenmachine,greenmachine-ahmed,0,lions,4660,7,2,8,25.0,1,3,33.3,1,5,20.0,2,5,40.0,1,1,2,1,3,1,0,0,1,1,0,0,0,0,-2,0,0,0,0,0,0,0,d
20191017-2100-greenmachine-lions,greenmachine,greenmachine-alex,0,lions,4660,7,3,6,50.0,3,6,50.0,0,0,0,1,4,25.0,4,10,14,2,0,3,1,0,4,3,1,0,0,0,17,0,0,0,0,0,0,0,d
20191017-2100-greenmachine-lions,greenmachine,greenmachine-kelli,0,lions,4660,0,0,7,0,0,6,0,0,1,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,d
20191017-2100-greenmachine-lions,greenmachine,greenmachine-victoria,0,lions,4660,2,1,1,100.0,1,1,100.0,0,0,0,0,0,0,2,2,4,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,d
20191017-2100-greenmachine-lions,greenmachine,greenmachine-basel,0,lions,4660,11,4,11,36.4,4,10,40.0,0,1,0,3,6,50.0,4,2,6,0,3,2,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,d
20191017-2100-greenmachine-lions,greenmachine,greenmachine-jayd,0,lions,4660,7,3,10,30.0,2,5,40.0,1,5,20.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,d
20191017-2100-greenmachine-lions,greenmachine,kissmygrass-steph,0,lions,4660,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,d
20191017-2100-greenmachine-lions,lions,lions-diego,1,greenmachine,4660,4,2,4,50.0,2,3,66.7,0,1,0,0,0,0,2,8,10,5,4,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,w
20191017-2100-greenmachine-lions,lions,lions-gus,1,greenmachine,4660,10,4,13,30.8,4,13,30.8,0,0,0,2,2,100.0,10,1,11,1,1,0,0,0,4,3,1,0,0,0,8,0,0,0,0,0,0,0,w
20191017-2100-greenmachine-lions,lions,lions-kata,1,greenmachine,4660,15,6,22,27.3,5,18,27.8,1,4,25.0,2,5,40.0,2,0,2,0,1,2,0,0,2,0,2,0,0,0,-3,0,0,0,0,0,0,0,w
20191017-2100-greenmachine-lions,lions,lions-telle,1,greenmachine,4660,2,0,2,0,0,2,0,0,0,0,2,2,100.0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
20191017-2100-greenmachine-lions,lions,lions-rashid,1,greenmachine,4660,8,3,8,37.5,1,1,100.0,2,7,28.6,0,0,0,2,7,9,1,2,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,w
20191017-2100-greenmachine-lions,lions,lions-tony,1,greenmachine,4660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w
