season_id,game_id,game_version,side_id,team_id,num_players,opp_team_id,opp_num_players,outcome,pts,fgm,fga,fgperc,efgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,opp_pts,opp_fgm,opp_fga,opp_fgperc,opp_efgperc,opp_twoptm,opp_twopta,opp_twoptperc,opp_threeptm,opp_threepta,opp_threeptperc,opp_ftm,opp_fta,opp_ftperc,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_blka,opp_fc,opp_sfc,opp_nsfc,opp_fd,opp_sfd,opp_nsfd,opp_pir,poss,opp_poss,passes,opp_passes,dribbles,opp_dribbles,second_chance_pts,opp_second_chance_pts,pts_off_tov,opp_pts_off_tov,true_fga,opp_true_fga,true_threepta,opp_true_threepta,players_involved,opp_players_involved,poss_with_tfga,opp_poss_with_tfga,avg_passes,avg_passes_with_tfga,avg_players_involved,avg_players_involved_with_tfga,opp_avg_passes,opp_avg_passes_tfga,opp_avg_players_involved,opp_avg_players_involved_with_tfga,avg_pts_with_1p,avg_pts_with_2p,avg_pts_with_3p,avg_pts_with_4p,avg_pts_with_5p
25,20191024-2015-camdenhells-rockets,5400,0,camdenhells,7,rockets,8,d,30,11,31,35.5,37.1,10,24,41.7,1,7,14.3,7,15,46.7,5,19,24,7,20,5,1,0,14,8,6,16,7,9,21,49,19,45,42.2,46.7,15,37,40.5,4,8,50.0,7,14,50.0,11,19,30,11,13,16,0,1,16,7,9,14,8,6,57,54,54,123,130,96,96,2,10,0,16,37,51,7,8,152,149,34,41,2.2777777777777777,2.6470588235294117,2.814814814814815,3.0,2.4074074074074074,2.6097560975609757,2.759259259259259,2.8292682926829267,1.1538461538461537,1.12,1.2,1.25,1.0
25,20191024-2015-camdenhells-rockets,5400,1,rockets,8,camdenhells,7,w,49,19,45,42.2,46.7,15,37,40.5,4,8,50.0,7,14,50.0,11,19,30,11,13,16,0,1,16,7,9,14,8,6,57,30,11,31,35.5,37.1,10,24,41.7,1,7,14.3,7,15,46.7,5,19,24,7,20,5,1,0,14,8,6,16,7,9,21,54,54,130,123,96,96,10,2,16,0,51,37,8,7,149,152,41,34,2.4074074074074074,2.6097560975609757,2.759259259259259,2.8292682926829267,2.2777777777777777,2.6470588235294117,2.814814814814815,3.0,1.2692307692307692,1.2380952380952381,1.1764705882352942,1.4444444444444444,1.5
25,20191031-1845-hotshots-camdenhells,5070,0,hotshots,8,camdenhells,9,d,37,14,41,34.1,37.8,11,31,35.5,3,10,30.0,6,12,50.0,5,21,26,9,12,2,4,5,14,11,3,9,6,3,23,58,24,63,38.1,38.1,24,58,41.4,0,5,0,10,19,52.6,23,23,46,21,4,7,5,4,9,6,3,14,11,3,86,54,53,73,132,83,72,4,15,3,12,47,71,10,5,116,151,42,49,1.3518518518518519,1.4285714285714286,2.1481481481481484,2.1666666666666665,2.490566037735849,2.5918367346938775,2.849056603773585,2.8979591836734695,0.8717948717948718,0.8333333333333334,1.0,0.8333333333333334,nan
25,20191031-1845-hotshots-camdenhells,5070,1,camdenhells,9,hotshots,8,w,58,24,63,38.1,38.1,24,58,41.4,0,5,0,10,19,52.6,23,23,46,21,4,7,5,4,9,6,3,14,11,3,86,37,14,41,34.1,37.8,11,31,35.5,3,10,30.0,6,12,50.0,5,21,26,9,12,2,4,5,14,11,3,9,6,3,23,53,54,132,73,72,83,15,4,12,3,71,47,5,10,151,116,49,42,2.490566037735849,2.5918367346938775,2.849056603773585,2.8979591836734695,1.3518518518518519,1.4285714285714286,2.1481481481481484,2.1666666666666665,1.2105263157894737,1.1944444444444444,1.08,1.7142857142857142,2.0
25,20191031-1930-greenmachine-burritos,5070,0,greenmachine,7,burritos,8,d,27,11,46,23.9,28.3,7,30,23.3,4,16,25.0,1,3,33.3,10,26,36,6,23,7,1,4,8,7,1,4,2,2,9,47,19,54,35.2,37.0,17,36,47.2,2,18,11.1,7,13,53.8,13,24,37,12,12,16,4,1,4,2,2,8,7,1,66,60,59,139,150,102,109,11,9,9,19,47,60,16,18,160,170,39,49,2.316666666666667,2.5384615384615383,2.6666666666666665,2.7948717948717947,2.542372881355932,2.693877551020408,2.8813559322033897,3.0,0.5806451612903226,0.6428571428571429,0.3684210526315789,0.0,nan
25,20191031-1930-greenmachine-burritos,5070,1,burritos,8,greenmachine,7,w,47,19,54,35.2,37.0,17,36,47.2,2,18,11.1,7,13,53.8,13,24,37,12,12,16,4,1,4,2,2,8,7,1,66,27,11,46,23.9,28.3,7,30,23.3,4,16,25.0,1,3,33.3,10,26,36,6,23,7,1,4,8,7,1,4,2,2,9,59,60,150,139,109,102,9,11,19,9,60,47,18,16,170,160,49,39,2.542372881355932,2.693877551020408,2.8813559322033897,3.0,2.316666666666667,2.5384615384615383,2.6666666666666665,2.7948717948717947,0.9310344827586207,0.9310344827586207,0.85,0.8333333333333334,nan
25,20191031-2015-lostangels-northlondonlions,5070,0,lostangels,5,northlondonlions,8,d,55,24,58,41.4,44.8,20,45,44.4,4,13,30.8,3,9,33.3,15,25,40,19,14,10,1,3,11,4,7,10,5,5,67,59,22,54,40.7,51.9,10,30,33.3,12,24,50.0,3,8,37.5,11,22,33,13,14,9,3,1,10,5,5,11,4,7,66,61,61,202,104,89,87,15,13,11,13,62,56,13,24,191,142,46,47,3.3114754098360657,3.739130434782609,3.1311475409836067,3.3260869565217392,1.7049180327868851,1.851063829787234,2.3278688524590163,2.425531914893617,1.2222222222222223,1.2,1.3571428571428572,1.3529411764705883,1.3333333333333333
25,20191031-2015-lostangels-northlondonlions,5070,1,northlondonlions,8,lostangels,5,w,59,22,54,40.7,51.9,10,30,33.3,12,24,50.0,3,8,37.5,11,22,33,13,14,9,3,1,10,5,5,11,4,7,66,55,24,58,41.4,44.8,20,45,44.4,4,13,30.8,3,9,33.3,15,25,40,19,14,10,1,3,11,4,7,10,5,5,67,61,61,104,202,87,89,13,15,13,11,56,62,24,13,142,191,47,46,1.7049180327868851,1.851063829787234,2.3278688524590163,2.425531914893617,3.3114754098360657,3.739130434782609,3.1311475409836067,3.3260869565217392,1.2105263157894737,1.1515151515151516,1.1111111111111112,1.75,1.5
25,20191031-2100-lions-rockets,5070,0,lions,6,rockets,7,d,38,15,39,38.5,43.6,11,26,42.3,4,13,30.8,4,8,50.0,5,14,19,8,16,13,0,1,15,13,2,8,4,4,26,49,21,41,51.2,51.2,21,38,55.3,0,3,0,7,23,30.4,13,21,34,7,17,8,1,0,8,4,4,15,13,2,53,54,54,123,88,106,92,5,17,13,10,43,51,13,3,146,124,39,38,2.2777777777777777,2.6923076923076925,2.7037037037037037,2.9743589743589745,1.6296296296296295,1.9473684210526316,2.2962962962962963,2.526315789473684,0.9615384615384616,1.0416666666666667,1.0588235294117647,1.0,0.0
25,20191031-2100-lions-rockets,5070,1,rockets,7,lions,6,w,49,21,41,51.2,51.2,21,38,55.3,0,3,0,7,23,30.4,13,21,34,7,17,8,1,0,8,4,4,15,13,2,53,38,15,39,38.5,43.6,11,26,42.3,4,13,30.8,4,8,50.0,5,14,19,8,16,13,0,1,15,13,2,8,4,4,26,54,54,88,123,92,106,17,5,10,13,51,43,3,13,124,146,38,39,1.6296296296296295,1.9473684210526316,2.2962962962962963,2.526315789473684,2.2777777777777777,2.6923076923076925,2.7037037037037037,2.9743589743589745,1.3448275862068966,1.36,1.6666666666666667,1.6666666666666667,2.0
25,20191107-1845-lions-camdenhells,5100,0,lions,6,camdenhells,10,d,31,13,45,28.9,33.3,9,26,34.6,4,19,21.1,1,3,33.3,4,26,30,9,16,11,1,1,13,11,2,5,2,3,23,34,13,51,25.5,25.5,13,48,27.1,0,3,0,8,20,40.0,16,30,46,11,15,9,1,1,5,2,3,13,11,2,43,59,60,132,191,107,112,3,9,10,12,46,61,19,4,156,197,43,46,2.23728813559322,2.5348837209302326,2.6440677966101696,2.7906976744186047,3.183333333333333,3.5217391304347827,3.283333333333333,3.5217391304347827,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.5555555555555556,0.0
