game_id,side_id,player_id
20191031-2015-lostangels-northlondonlions,0,lostangels-carlotta
20191031-2015-lostangels-northlondonlions,0,lostangels-daria
20191031-2015-lostangels-northlondonlions,0,lostangels-jazeps
20191031-2015-lostangels-northlondonlions,0,lostangels-rolands
20191031-2015-lostangels-northlondonlions,1,northlondonlions-tanky
20191031-2015-lostangels-northlondonlions,1,northlondonlions-boma
20191031-2015-lostangels-northlondonlions,1,northlondonlions-tom
20191031-2015-lostangels-northlondonlions,1,northlondonlions-kenny
20191031-2015-lostangels-northlondonlions,1,northlondonlions-mikey
20191031-2015-lostangels-northlondonlions,1,northlondonlions-sulley
20191031-2015-lostangels-northlondonlions,1,northlondonlions-millie
20191031-2015-lostangels-northlondonlions,1,northlondonlions-kat
20191031-2100-lions-rockets,0,lions-diego
20191031-2100-lions-rockets,0,lions-gus
20191031-2100-lions-rockets,0,lions-kata
20191031-2100-lions-rockets,0,lions-mychelle
20191031-2100-lions-rockets,0,lions-rashid
20191031-2100-lions-rockets,0,greenmachine-andris
20191031-2100-lions-rockets,1,rockets-alex
20191031-2100-lions-rockets,1,rockets-anna
20191031-2100-lions-rockets,1,rockets-darnell
20191031-2100-lions-rockets,1,rockets-marc
20191031-2100-lions-rockets,1,rockets-patricia
20191031-2100-lions-rockets,1,rockets-paul
20191031-2100-lions-rockets,1,saturdays-jo
20191107-1845-lions-camdenhells,0,lions-foley
20191107-1845-lions-camdenhells,0,lions-gus
20191107-1845-lions-camdenhells,0,lions-kata
20191107-1845-lions-camdenhells,0,lions-mychelle
20191107-1845-lions-camdenhells,0,lions-rashid
20191107-1845-lions-camdenhells,0,greenmachine-andris
20191107-1845-lions-camdenhells,1,camdenhells-davidgalindo
20191107-1845-lions-camdenhells,1,camdenhells-sean
20191107-1845-lions-camdenhells,1,lostangels-sophie
20191107-1845-lions-camdenhells,1,rockets-anna
20191107-1845-lions-camdenhells,1,rockets-malachi
20191107-1845-lions-camdenhells,1,kissmygrass-steph
20191107-1845-lions-camdenhells,1,greenmachine-ahmed
20191107-1845-lions-camdenhells,1,camdenhells-jess
20191107-1845-lions-camdenhells,1,lostangels-rob
20191107-1845-lions-camdenhells,1,lions-alfie
20191107-1930-hotshots-greenmachine,0,hotshots-marine
20191107-1930-hotshots-greenmachine,0,hotshots-harrison
20191107-1930-hotshots-greenmachine,0,hotshots-bernard
20191107-1930-hotshots-greenmachine,0,lions-saulius
20191107-1930-hotshots-greenmachine,0,saturdays-claire
20191107-1930-hotshots-greenmachine,0,imports-dan
20191107-1930-hotshots-greenmachine,0,hotshots-sharad
20191107-1930-hotshots-greenmachine,1,greenmachine-ahmed
20191107-1930-hotshots-greenmachine,1,greenmachine-alex
20191107-1930-hotshots-greenmachine,1,greenmachine-marina
20191107-1930-hotshots-greenmachine,1,greenmachine-victoria
20191107-1930-hotshots-greenmachine,1,greenmachine-basel
20191107-1930-hotshots-greenmachine,1,greenmachine-jayd
20191107-1930-hotshots-greenmachine,1,kissmygrass-steph
20191107-1930-hotshots-greenmachine,1,rockets-malachi
20191107-2015-northlondonlions-rockets,0,northlondonlions-tanky
20191107-2015-northlondonlions-rockets,0,northlondonlions-kylie
20191107-2015-northlondonlions-rockets,0,northlondonlions-kat
20191107-2015-northlondonlions-rockets,0,northlondonlions-boma
20191107-2015-northlondonlions-rockets,0,northlondonlions-tom
20191107-2015-northlondonlions-rockets,0,northlondonlions-mikey
20191107-2015-northlondonlions-rockets,0,northlondonlions-stephanie
20191107-2015-northlondonlions-rockets,1,rockets-anna
20191107-2015-northlondonlions-rockets,1,rockets-darnell
20191107-2015-northlondonlions-rockets,1,rockets-marc
20191107-2015-northlondonlions-rockets,1,rockets-patricia
20191107-2015-northlondonlions-rockets,1,rockets-paul
20191107-2015-northlondonlions-rockets,1,lostangels-daria
20191107-2015-northlondonlions-rockets,1,lostangels-rob
20191107-2100-lostangels-burritos,0,lostangels-aldis
20191107-2100-lostangels-burritos,0,lostangels-carlos
20191107-2100-lostangels-burritos,0,lostangels-carlotta
20191107-2100-lostangels-burritos,0,lostangels-daria
20191107-2100-lostangels-burritos,0,lostangels-jazeps
20191107-2100-lostangels-burritos,0,lostangels-rolands
20191107-2100-lostangels-burritos,0,lostangels-sophie
20191107-2100-lostangels-burritos,1,burritos-alex
20191107-2100-lostangels-burritos,1,burritos-armelle
20191107-2100-lostangels-burritos,1,burritos-suzi
20191107-2100-lostangels-burritos,1,burritos-sylwia
20191107-2100-lostangels-burritos,1,burritos-tom
20191107-2100-lostangels-burritos,1,burritos-wouter
20191107-2100-lostangels-burritos,1,dropbears-mary
20191114-1845-lostangels-greenmachine,0,lostangels-aldis
20191114-1845-lostangels-greenmachine,0,lostangels-carlos
20191114-1845-lostangels-greenmachine,0,lostangels-carlotta
20191114-1845-lostangels-greenmachine,0,lostangels-jazeps
20191114-1845-lostangels-greenmachine,0,lostangels-rolands
20191114-1845-lostangels-greenmachine,0,lostangels-sophie
20191114-1845-lostangels-greenmachine,1,greenmachine-ahmed
20191114-1845-lostangels-greenmachine,1,greenmachine-alex
20191114-1845-lostangels-greenmachine,1,greenmachine-alison
20191114-1845-lostangels-greenmachine,1,greenmachine-kelli
20191114-1845-lostangels-greenmachine,1,greenmachine-marina
20191114-1845-lostangels-greenmachine,1,greenmachine-sergio
20191114-1845-lostangels-greenmachine,1,greenmachine-victoria
20191114-1845-lostangels-greenmachine,1,greenmachine-jayd
20191114-1930-hotshots-lions,0,hotshots-daniel
20191114-1930-hotshots-lions,0,hotshots-weronika
20191114-1930-hotshots-lions,0,hotshots-davidm
20191114-1930-hotshots-lions,0,hotshots-harrison
20191114-1930-hotshots-lions,0,imports-dan
20191114-1930-hotshots-lions,0,hotshots-bernard
20191114-1930-hotshots-lions,0,saturdays-claire
20191114-1930-hotshots-lions,1,lions-gus
20191114-1930-hotshots-lions,1,lions-kata
20191114-1930-hotshots-lions,1,lions-mychelle
20191114-1930-hotshots-lions,1,lions-rashid
20191114-1930-hotshots-lions,1,greenmachine-andris
