team,player,3fga,3fgm,3fg%,2fga,2fgm,2fg%,fga,fgm,fg%,fta,ftm,ft%,pts,orb,drb,treb,ast,blk,to,stl,fol,a!,eff,tim
lostangels,lostangels-aldis,4,1,25%,3,0,0%,7,1,14%,0,0,0%,3,0,4,4,2,0,0,1,0,0,4,12:06
lostangels,lostangels-carlotta,0,0,0%,9,5,56%,9,5,56%,0,0,0%,10,2,2,4,3,0,2,2,1,0,13,22:36
lostangels,lostangels-daria,4,1,25%,1,0,0%,5,1,20%,0,0,0%,3,1,1,2,4,0,1,2,0,0,6,22:35
lostangels,lostangels-jazeps,1,1,100%,13,5,38%,14,6,43%,2,0,0%,13,1,4,5,3,2,3,4,2,1,14,14:45
lostangels,lostangels-john,0,0,0%,3,1,33%,3,1,33%,0,0,0%,2,2,1,3,1,0,1,0,2,0,3,11:45
lostangels,lostangels-rob,0,0,0%,7,5,71%,7,5,71%,2,1,50%,11,0,4,4,1,1,4,3,3,0,13,13:32
lostangels,lostangels-rolands,0,0,0%,6,2,33%,6,2,33%,0,0,0%,4,2,7,9,3,1,1,1,9,9,13,15:39
lostangels,lostangels,9,3,33%,42,18,43%,51,21,41%,4,1,25%,46,8,23,31,17,4,12,13,8,1,66,29:36:00
rockets,rockets,7,0,0%,40,11,28%,47,11,23%,7,3,43%,25,7,18,25,4,0,16,6,4,0,4,29:36:00
