team,player,3fga,3fgm,3fg%,2fga,2fgm,2fg%,fga,fgm,fg%,fta,ftm,ft%,pts,orb,drb,treb,ast,blk,to,stl,fol,a!,eff,tim
lostangels,lostangels-aldis,5,0,0%,4,0,0%,9,0,0%,2,2,100%,2,1,5,6,5,0,1,2,1,0,5,00:39
lostangels,lostangels-carlotta,0,0,0%,13,2,15%,13,2,15%,0,0,0%,4,0,1,1,1,0,0,5,0,0,0,22:16
lostangels,lostangels-daria,2,1,50%,3,1,33%,5,2,40%,0,0,0%,5,0,0,0,0,0,1,0,0,0,1,19:39
lostangels,lostangels-jazeps,2,0,0%,11,5,45%,13,5,38%,0,0,0%,10,4,1,5,1,1,5,3,0,0,7,06:30
lostangels,lostangels-rob,0,0,0%,15,10,67%,15,10,67%,4,4,100%,22,2,13,15,1,0,1,3,0,0,33,02:03
lostangels,lostangels-rolands,0,0,0%,4,2,50%,4,2,50%,0,0,0%,4,7,9,16,4,5,2,0,2,0,25,23:30
lostangels,lostangels-sophie,1,0,0%,4,2,50%,5,2,40%,1,1,100%,5,1,2,3,2,0,0,2,0,0,9,21:53
lostangels,lostangels,10,1,10%,54,22,41%,64,23,36%,7,5,71%,52,15,31,46,14,6,10,15,3,0,80,35:23:00
camdenhells,camdenhells,10,2,20%,42,7,17%,52,9,17%,4,2,50%,22,7,18,25,5,3,12,3,5,0,1,35:23:00
