id,scheduled_time,home_team_id,away_team_id,season_id
20200123-1845-jediballers-rockets,2020-01-23 18:45:00,jediballers,rockets,26
20200123-1930-bbcballers-northlondonlions,2020-01-23 19:30:00,bbcballers,northlondonlions,26
20200123-2015-burritos-lostangels,2020-01-23 20:15:00,burritos,lostangels,26
20200123-2100-camdenhells-greenmachine,2020-01-23 21:00:00,camdenhells,greenmachine,26
20200130-1845-greenmachine-lostangels,2020-01-30 18:45:00,greenmachine,lostangels,26
20200130-1930-camdenhells-northlondonlions,2020-01-30 19:30:00,camdenhells,northlondonlions,26
20200130-2015-burritos-rockets,2020-01-30 20:15:00,burritos,rockets,26
20200130-2100-jediballers-bbcballers,2020-01-30 21:00:00,jediballers,bbcballers,26
20200206-1845-camdenhells-bbcballers,2020-02-06 18:45:00,camdenhells,bbcballers,26
20200206-1930-jediballers-burritos,2020-02-06 19:30:00,jediballers,burritos,26
20200206-2015-lostangels-northlondonlions,2020-02-06 20:15:00,lostangels,northlondonlions,26
20200206-2100-greenmachine-rockets,2020-02-06 21:00:00,greenmachine,rockets,26
20200213-1845-greenmachine-burritos,2020-02-13 18:45:00,greenmachine,burritos,26
20200213-1930-lostangels-bbcballers,2020-02-13 19:30:00,lostangels,bbcballers,26
20200213-2015-northlondonlions-rockets,2020-02-13 20:15:00,northlondonlions,rockets,26
20200213-2100-jediballers-camdenhells,2020-02-13 21:00:00,jediballers,camdenhells,26
20200220-1845-lostangels-camdenhells,2020-02-20 18:45:00,lostangels,camdenhells,26
20200220-1930-jediballers-greenmachine,2020-02-20 19:30:00,jediballers,greenmachine,26
20200220-2015-northlondonlions-burritos,2020-02-20 20:15:00,northlondonlions,burritos,26
20200220-2100-rockets-bbcballers,2020-02-20 21:00:00,rockets,bbcballers,26
20200227-1845-rockets-camdenhells,2020-02-27 18:45:00,rockets,camdenhells,26
20200227-1930-northlondonlions-greenmachine,2020-02-27 19:30:00,northlondonlions,greenmachine,26
20200227-2015-jediballers-lostangels,2020-02-27 20:15:00,jediballers,lostangels,26
20200227-2100-bbcballers-burritos,2020-02-27 21:00:00,bbcballers,burritos,26
20200305-1845-jediballers-northlondonlions,2020-03-05 18:45:00,jediballers,northlondonlions,26
20200305-1930-rockets-lostangels,2020-03-05 19:30:00,rockets,lostangels,26
20200305-2015-bbcballers-greenmachine,2020-03-05 20:15:00,bbcballers,greenmachine,26
20200305-2100-burritos-camdenhells,2020-03-05 21:00:00,burritos,camdenhells,26
20200312-1845-northlondonlions-bbcballers,2020-03-12 18:45:00,northlondonlions,bbcballers,26
20200312-1930-lostangels-burritos,2020-03-12 19:30:00,lostangels,burritos,26
20200312-2015-greenmachine-camdenhells,2020-03-12 20:15:00,greenmachine,camdenhells,26
20200312-2100-rockets-jediballers,2020-03-12 21:00:00,rockets,jediballers,26
20200319-1845-bbcballers-jediballers,2020-03-19 18:45:00,bbcballers,jediballers,26
20200319-1930-rockets-burritos,2020-03-19 19:30:00,rockets,burritos,26
20200319-2015-northlondonlions-camdenhells,2020-03-19 20:15:00,northlondonlions,camdenhells,26
20200319-2100-lostangels-greenmachine,2020-03-19 21:00:00,lostangels,greenmachine,26
20200326-1845-rockets-greenmachine,2020-03-26 18:45:00,rockets,greenmachine,26
20200326-1930-burritos-jediballers,2020-03-26 19:30:00,burritos,jediballers,26
20200326-2015-bbcballers-camdenhells,2020-03-26 20:15:00,bbcballers,camdenhells,26
20200326-2100-northlondonlions-lostangels,2020-03-26 21:00:00,northlondonlions,lostangels,26
