,game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,opponent_pts,x_factor,possessions,defensive_eff,offensive_eff,outcome,p_greenmachine_alex,p_greenmachine_allison,p_greenmachine_andris,p_greenmachine_iestyn,p_greenmachine_itai,p_greenmachine_marina,p_greenmachine_victoria,p_lions_alfie,p_lions_diego,p_lions_kata,p_lions_mychelle,p_lions_saulius,p_lions_tony,p_lostangels_aldis,p_lostangels_carlos,p_lostangels_carlotta,p_lostangels_daria,p_lostangels_rob,p_lostangels_rolands,p_lostangels_sophie,p_camdenhells_davidgalindo,p_camdenhells_levent,p_camdenhells_sean,p_rockets_anna,p_rockets_malachi,p_rockets_alex,p_rockets_daisy,p_rockets_darnell,p_rockets_marc,p_rockets_patricia,p_rockets_thriston,p_burritos_alex,p_burritos_allen,p_burritos_armelle,p_burritos_stuart,p_burritos_tom,p_burritos_wouter,p_bbcballers_amir,p_bbcballers_finn,p_bbcballers_lisa,p_bbcballers_saulius,p_bbcballers_suhail,p_lions_foley,p_lostangels_jazeps,p_lostangels_john,p_dropbears_mary,p_dropbears_andrew,p_dropbears_ed,p_dropbears_ray,p_rockets_paul,p_timekeeper_naomi,p_kissmygrass_steph,p_lions_gus,p_rockets_janis,p_dropbears_hayley,p_dropbears_jordan,p_dropbears_martin,p_burritos_sylwia,p_greenmachine_ahmed,p_camdenhells_lauren,p_camdenhells_nick,p_bbcballers_alexandra,p_bbcballers_arthur,p_bbcballers_james,p_lions_obi,p_lions_telle,p_burritos_suzi,p_greenmachine_kelli,p_bbcballers_nathan,p_saturdays_claire,p_lions_chris,p_greenmachine_david,p_greenmachine_sergio,p_camdenhells_aimee,p_dropbears_p2
12,20190808-2100-lions-lostangels,0,lions,lostangels,11,51,5,18,3,6,30,9,12,21,3,9,11,3,8,41,,53.4144,76.75832734243949,56.164629762760605,D,,,,,,,,,,,,,,OPP,OPP,OPP,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20190808-2100-lions-lostangels,1,lostangels,lions,17,53,0,7,7,10,41,18,26,44,10,9,18,3,5,30,,55.104000000000006,54.442508710801384,74.40476190476191,W,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20190815-2015-lostangels-rockets,0,lostangels,rockets,21,51,3,9,1,4,46,8,23,31,17,13,12,4,8,25,,54.4896,45.880314775663614,84.41977918722105,W,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20190815-2015-lostangels-rockets,1,rockets,lostangels,11,47,0,7,3,7,25,7,18,25,4,6,16,0,4,46,,56.7168,81.10471676822388,44.07865041751298,D,,,,,,,,,,,,,,OPP,,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20190822-1845-lions-dropbears,0,lions,dropbears,16,49,0,4,8,12,40,16,25,41,10,9,22,1,8,46,,57.8688,79.49015704490157,69.12187569121876,D,,,,,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,OPP,OPP,OPP,OPP,Y,Y,,,,,,,,,,,,,,,,,,,,,,
17,20190822-1845-lions-dropbears,1,dropbears,lions,17,50,5,15,7,12,46,10,18,28,9,14,13,3,9,40,,55.9488,71.49393731411577,82.21802791123314,W,,,,,,,,OPP,OPP,OPP,,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,
18,20190822-2015-lostangels-camdenhells,0,lostangels,camdenhells,23,64,1,10,5,7,52,15,31,46,14,15,10,6,3,22,,59.5968,36.91473367697595,87.25300687285223,W,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20190822-2015-lostangels-camdenhells,1,camdenhells,lostangels,9,52,2,10,2,4,22,7,18,25,5,3,12,3,5,52,,56.40960000000001,92.18289085545722,39.00045382346267,D,,,,,,,,,,,,,,OPP,,OPP,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20190822-2100-rockets-burritos,0,rockets,burritos,12,45,0,5,3,7,27,13,24,37,3,8,19,2,18,42,,51.9168,80.89866863905327,52.00628698224853,D,,,,,,,,,,,,,,,,OPP,,,,OPP,,,,Y,Y,Y,,,Y,Y,Y,OPP,OPP,,,OPP,OPP,,,,,,,,,,,,,Y,OPP,,,Y,,,,,,,,,,,,,,,,,,,,,
21,20190822-2100-rockets-burritos,1,burritos,rockets,12,38,1,7,17,25,42,4,21,25,6,13,10,0,6,27,,52.8,51.13636363636363,79.54545454545455,W,,,,,,,,,,,,,,,,Y,,,,Y,,,,OPP,OPP,OPP,,,OPP,OPP,OPP,Y,Y,,,Y,Y,,,,,,,,,,,,,OPP,Y,,,OPP,,,,,,,,,,,,,,,,,,,,,
22,20190829-1845-rockets-dropbears,0,rockets,dropbears,19,56,2,7,5,9,45,12,26,38,15,17,13,2,11,27,,58.52159999999999,46.136811023622045,76.8946850393701,W,,,,,,,,,,,OPP,,,,,,,,,,,,,Y,,Y,,Y,,Y,Y,,,,,OPP,,,,,,,,,,OPP,,OPP,OPP,Y,,,,Y,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,
23,20190829-1845-rockets-dropbears,1,dropbears,rockets,10,44,1,11,6,9,27,9,28,37,1,11,23,1,9,45,,59.48159999999999,75.65364751452552,45.39218850871529,D,,,,,,,,,,,Y,,,,,,,,,,,,,OPP,,OPP,,OPP,,OPP,OPP,,,,,Y,,,,,,,,,,Y,,Y,Y,OPP,,,,OPP,Y,Y,Y,,,,,,,,,,,,,,,,,,
24,20190829-2015-burritos-camdenhells,0,burritos,camdenhells,28,54,10,17,5,6,71,7,28,35,22,8,11,0,3,46,,58.2144,79.01824978012313,121.96295074758137,W,,,,,,,,,,,,,,,,,,,,OPP,OPP,,OPP,OPP,,,,,,,,Y,,Y,Y,Y,,,,,,,,,,Y,,,,,,,OPP,,,,,Y,Y,OPP,OPP,,,,,,,,,,,,,,
25,20190829-2015-burritos-camdenhells,1,camdenhells,burritos,22,55,1,5,1,2,46,5,19,24,14,8,10,3,5,71,,58.4448,121.48215067893123,78.70674551029349,D,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,OPP,,OPP,OPP,OPP,,,,,,,,,,OPP,,,,,,,Y,,,,,OPP,OPP,Y,Y,,,,,,,,,,,,,,
26,20190829-2100-bbcballers-lions,0,bbcballers,lions,13,58,7,19,0,2,33,5,22,27,8,6,15,1,5,68,,66.1248,102.83584978706931,49.90563298490129,D,,,,,,,,,,,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,,,Y,,,,,,,OPP,,,,,,,OPP,,Y,Y,Y,OPP,OPP,,,,,,,,,
27,20190829-2100-bbcballers-lions,1,lions,bbcballers,30,81,0,3,8,10,68,29,41,70,19,10,11,3,3,33,,64.70400000000001,51.00148367952522,105.09396636993077,W,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,OPP,,OPP,,OPP,,,,OPP,,,,,,,Y,,,,,,,Y,,OPP,OPP,OPP,Y,Y,,,,,,,,,
28,20190905-1845-bbcballers-lostangels,0,bbcballers,lostangels,6,44,1,8,2,4,15,7,19,26,1,1,15,0,4,58,,51.60959999999999,112.38219246031748,29.064360119047624,D,,,,,,,,,,,,,,OPP,OPP,OPP,OPP,,,OPP,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,20190905-1845-bbcballers-lostangels,1,lostangels,bbcballers,26,65,3,11,3,7,58,13,26,39,20,12,7,7,5,15,,59.5968,25.169136597938145,97.3206615120275,W,,,,,,,,,,,,,,Y,Y,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20190905-2015-burritos-greenmachine,0,burritos,greenmachine,20,49,6,17,3,6,49,7,26,33,12,6,14,0,5,47,,56.2944,83.48965438835835,87.0424056389268,W,OPP,OPP,,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,OPP,,,,,,,,Y,OPP,,,,,,,
31,20190905-2015-burritos-greenmachine,1,greenmachine,burritos,21,55,3,10,2,7,47,11,23,34,10,10,12,1,9,49,,56.7168,86.39415481832545,82.8678627849244,D,Y,Y,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,OPP,Y,,,,,,,,OPP,Y,,,,,,,
32,20190919-1845-burritos-bbcballers,0,burritos,bbcballers,31,68,5,14,3,6,70,18,22,40,21,13,8,3,5,33,,58.2144,56.68700527704485,120.24516270888304,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,,,OPP,OPP,OPP,,,,,,,,,,,,,,,,Y,,,,,OPP,OPP,,,Y,,OPP,,,,,,
33,20190919-1845-burritos-bbcballers,1,bbcballers,burritos,14,49,3,9,2,4,33,11,15,26,4,4,16,0,4,70,,53.5296,130.7687709230033,61.64813486370158,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPP,OPP,,OPP,OPP,,,Y,Y,Y,,,,,,,,,,,,,,,,OPP,,,,,Y,Y,,,OPP,,Y,,,,,,
34,20190919-2015-lostangels-dropbears,0,lostangels,dropbears,14,45,1,11,4,8,33,8,24,32,8,3,15,5,8,42,,53.2992,78.80043227665706,61.91462536023055,D,,,,,,,,,,,,,,Y,Y,,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
35,20190919-2015-lostangels-dropbears,1,dropbears,lostangels,15,44,6,13,6,9,42,4,10,14,4,6,6,2,7,33,,47.9616,68.80504403522819,87.57005604483587,W,,,,,,,,,,,,,,OPP,OPP,,OPP,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,OPP,,,,,
36,20190919-2100-lions-greemachine,0,lions,greenmachine,16,50,2,10,6,12,40,7,25,32,8,10,12,2,7,32,,57.8688,55.29750055297501,69.12187569121876,W,OPP,OPP,OPP,OPP,,OPP,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,OPP,,,,,,,Y,,,,,Y,,,,
37,20190919-2100-lions-greemachine,1,greenmachine,lions,14,51,1,9,3,7,32,8,25,33,9,8,14,2,11,40,,57.67679999999999,69.35197514425212,55.481580115401705,D,Y,Y,Y,Y,,Y,,,,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPP,,,,,,,,,,,,,,,,Y,,,,,,,OPP,,,,,OPP,,,,
38,20190926-1845-rockets-greenmachine,0,rockets,greenmachine,20,47,1,3,4,8,45,9,20,29,12,25,16,3,15,6,,55.2192,10.865785813630042,81.49339360222531,W,OPP,OPP,,OPP,,OPP,OPP,,,,,,,,,,,,,,,,,Y,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,OPP,OPP,Y,
39,20190926-1845-rockets-greenmachine,1,greenmachine,rockets,2,26,0,2,2,11,6,3,16,19,1,10,32,1,6,45,,57.4464,78.33389037433155,10.444518716577539,D,Y,Y,,Y,,Y,Y,,,,,,,,,,,,,,,,,OPP,OPP,OPP,,,OPP,,,,,,,,,,,,,,,,,,,,,OPP,,,,OPP,,,,,,,,,,,,,,,,,,Y,Y,OPP,
40,20190926-1930-camdenhells-bbcballers,0,camdenhells,bbcballers,22,59,1,5,2,7,47,16,34,50,10,8,12,7,8,24,,55.7568,43.04407713498623,84.29465105601469,W,,,,,,,,,,,OPP,,,,,,,,,,Y,Y,,Y,Y,,,,,,,,,,,,,,,OPP,,OPP,,,,,,,,,,OPP,,,,,,,,Y,,,OPP,OPP,,,,,,,,,,Y,
41,20190926-1930-camdenhells-bbcballers,1,bbcballers,camdenhells,10,58,2,12,2,6,24,11,21,32,2,4,11,1,5,47,,58.2144,80.73603781882144,41.22691292875989,D,,,,,,,,,,,Y,,,,,,,,,,OPP,OPP,,OPP,OPP,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,Y,,,,,,,,OPP,,,Y,Y,,,,,,,,,,OPP,
42,20190926-2015-burritos-dropbears,0,burritos,dropbears,19,56,3,16,7,13,48,11,26,37,11,8,6,0,6,35,,54.4512,64.27773859896568,88.15232722143864,W,,,,,,,,,,,OPP,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,,,,,,,,OPP,,OPP,OPP,,,,,,OPP,,OPP,Y,,,,,,,,,Y,,,,,,,,OPP
43,20190926-2015-burritos-dropbears,1,dropbears,burritos,14,48,3,12,4,4,35,4,23,27,9,5,9,1,8,48,,52.5696,91.30752373995618,66.57840272705138,D,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,OPP,OPP,OPP,OPP,OPP,OPP,,,,,,,,,Y,,Y,Y,,,,,,Y,,Y,OPP,,,,,,,,,OPP,,,,,,,,Y
44,20190926-2100-lostangels-lions,0,lostangels,lions,26,61,1,5,7,15,60,14,28,42,15,10,12,4,5,25,,62.97599999999999,39.69766260162602,95.27439024390243,W,,,,,,,,,OPP,OPP,OPP,,,Y,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,OPP,Y,,,,,,,,,OPP,,,,,,,OPP,,,,,,OPP,,,,Y,,,,,
45,20190926-2100-lostangels-lions,1,lions,lostangels,10,48,2,4,3,7,25,8,21,29,6,8,14,1,7,60,,54.7968,109.49544498948843,45.62310207895352,D,,,,,,,,,Y,Y,Y,,,OPP,OPP,,OPP,OPP,OPP,,,,,,,,,,,,,,,,,,,,,,,,Y,OPP,,,,,,,,,Y,,,,,,,Y,,,,,,Y,,,,OPP,,,,,
