game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,player_id
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,2,10,0,2,0,0,4,1,4,0,0,1,0,0,1,lions-foley
20190808-1930-bbcballers-camdenhells,0,bbcballers,camdenhells,4,13,4,8,0,0,12,1,0,0,0,1,2,0,0,lions-mychelle
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,3,9,0,0,0,0,6,0,1,0,1,1,3,0,0,rockets-anna
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,rockets-daisy
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,9,12,0,1,6,9,24,1,1,0,2,3,3,0,0,rockets-darnell
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,6,11,0,0,1,2,13,3,7,0,0,3,1,1,2,rockets-malachi
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,1,3,0,1,0,2,2,3,6,0,6,0,2,0,1,rockets-marc
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,0,4,0,0,0,0,0,1,2,0,3,1,2,1,0,rockets-patricia
20190808-2015-greenmachine-rockets,1,rockets,greenmachine,3,11,0,0,0,0,6,7,2,0,0,1,0,1,4,rockets-thriston
20190808-2100-lions-lostangels,1,lostangels,lions,0,4,0,2,0,0,0,0,2,0,1,2,4,0,0,lostangels-aldis
20190808-2100-lions-lostangels,1,lostangels,lions,6,9,0,0,1,4,13,5,6,0,1,0,1,0,0,lostangels-carlos
20190808-2100-lions-lostangels,1,lostangels,lions,0,4,0,0,0,0,0,1,1,0,1,0,1,0,0,lostangels-carlotta
20190808-2100-lions-lostangels,1,lostangels,lions,0,5,0,4,0,0,0,1,0,0,0,2,0,0,0,lostangels-daria
20190808-2100-lions-lostangels,1,lostangels,lions,1,6,0,1,0,0,2,2,1,0,5,2,4,2,2,lostangels-jazeps
20190808-2100-lions-lostangels,1,lostangels,lions,1,3,0,0,0,0,2,0,3,0,0,1,2,0,1,lostangels-john
20190808-2100-lions-lostangels,1,lostangels,lions,8,11,0,0,4,4,20,2,7,0,0,0,2,0,0,lostangels-rob
20190808-2100-lions-lostangels,1,lostangels,lions,1,6,0,0,2,2,4,5,2,0,1,0,3,1,0,lostangels-rolands
20190808-2100-lions-lostangels,1,lostangels,lions,0,5,0,0,0,0,0,2,4,0,1,2,1,0,2,lostangels-sophie
20190815-1930-lions-burritos,1,burritos,lions,10,17,1,5,4,6,25,2,3,0,2,3,2,0,0,burritos-alex
20190815-1930-lions-burritos,1,burritos,lions,4,13,3,8,1,2,12,4,4,0,2,2,0,0,0,burritos-allen
20190815-1930-lions-burritos,1,burritos,lions,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,burritos-armelle
20190815-1930-lions-burritos,1,burritos,lions,0,8,0,5,0,0,0,1,8,0,3,0,1,1,0,burritos-stuart
20190815-1930-lions-burritos,1,burritos,lions,5,15,0,3,1,4,11,0,3,0,1,2,3,0,0,dropbears-mary
20190815-1930-lions-burritos,1,burritos,lions,1,2,0,0,0,0,2,1,5,0,0,0,0,0,0,lostangels-rolands
20190815-2015-lostangels-rockets,0,lostangels,rockets,1,7,1,4,0,0,3,0,4,0,2,1,0,0,0,lostangels-aldis
20190815-2015-lostangels-rockets,0,lostangels,rockets,5,9,0,0,0,0,10,2,2,0,3,2,2,0,1,lostangels-carlotta
20190815-2015-lostangels-rockets,0,lostangels,rockets,1,5,1,4,0,0,3,1,1,0,4,2,1,0,0,lostangels-daria
20190815-2015-lostangels-rockets,0,lostangels,rockets,6,14,1,1,0,2,13,1,4,0,3,4,3,2,2,lostangels-jazeps
20190815-2015-lostangels-rockets,0,lostangels,rockets,1,3,0,0,0,0,2,2,1,0,1,0,1,0,2,lostangels-john
20190815-2015-lostangels-rockets,0,lostangels,rockets,5,7,0,0,1,2,11,0,4,0,1,3,4,1,3,lostangels-rob
20190815-2015-lostangels-rockets,0,lostangels,rockets,2,6,0,0,0,0,4,2,7,0,3,1,1,1,9,lostangels-rolands
20190822-1845-lions-dropbears,0,lions,dropbears,2,3,0,0,0,0,4,1,1,2,2,1,3,0,0,kissmygrass-steph
20190822-1845-lions-dropbears,0,lions,dropbears,1,3,0,0,0,0,2,3,2,5,0,1,5,0,1,lions-alfie
20190822-1845-lions-dropbears,0,lions,dropbears,4,10,0,2,0,0,8,2,2,4,4,2,5,0,1,lions-diego
20190822-1845-lions-dropbears,0,lions,dropbears,2,8,0,1,2,4,6,4,10,14,0,0,1,0,2,lions-gus
20190822-1845-lions-dropbears,0,lions,dropbears,5,17,0,1,1,1,11,0,2,2,2,2,3,1,2,lions-kata
20190822-1845-lions-dropbears,0,lions,dropbears,2,8,0,0,5,7,9,5,5,10,2,3,5,0,1,lions-saulius
20190822-1845-lions-dropbears,1,dropbears,lions,1,5,0,1,0,0,2,1,2,3,0,0,0,0,3,dropbears-andrew
20190822-1845-lions-dropbears,1,dropbears,lions,3,7,2,5,2,4,10,1,3,4,2,2,2,0,1,dropbears-ed
20190822-1845-lions-dropbears,1,dropbears,lions,6,19,2,8,2,2,16,3,0,3,2,1,3,0,0,dropbears-mary
20190822-1845-lions-dropbears,1,dropbears,lions,2,3,1,1,3,4,8,1,4,5,3,5,3,0,1,dropbears-ray
20190822-1845-lions-dropbears,1,dropbears,lions,4,7,0,0,0,2,8,2,3,5,0,4,3,1,1,rockets-paul
20190822-1845-lions-dropbears,1,dropbears,lions,1,9,0,0,0,0,2,2,3,5,2,2,2,2,2,timekeeper-naomi
20190822-2100-rockets-burritos,0,rockets,burritos,0,2,0,1,0,0,0,1,0,1,0,0,1,0,3,rockets-alex
20190822-2100-rockets-burritos,0,rockets,burritos,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,rockets-anna
20190822-2100-rockets-burritos,0,rockets,burritos,0,8,0,2,1,2,1,2,5,7,2,4,7,0,1,rockets-janis
20190822-2100-rockets-burritos,0,rockets,burritos,1,2,0,0,1,2,3,1,2,3,0,0,1,0,1,rockets-malachi
20190822-2100-rockets-burritos,0,rockets,burritos,5,13,0,2,1,2,11,3,3,6,1,2,4,0,3,rockets-marc
20190822-2100-rockets-burritos,0,rockets,burritos,0,3,0,0,0,0,0,1,2,3,0,1,2,0,0,rockets-patricia
20190822-2100-rockets-burritos,0,rockets,burritos,2,9,0,0,0,1,4,1,4,5,0,1,2,1,6,rockets-paul
20190822-2100-rockets-burritos,0,rockets,burritos,3,7,0,0,0,0,6,4,5,9,0,0,2,1,3,rockets-thriston
20190822-2100-rockets-burritos,1,burritos,rockets,4,9,1,3,5,5,14,0,3,3,1,2,0,0,0,burritos-alex
20190822-2100-rockets-burritos,1,burritos,rockets,1,2,0,0,0,0,2,0,2,2,0,0,0,0,0,burritos-allen
20190822-2100-rockets-burritos,1,burritos,rockets,1,6,0,4,2,2,4,1,2,3,4,4,3,0,1,burritos-tom
20190822-2100-rockets-burritos,1,burritos,rockets,3,11,0,0,9,16,15,2,7,9,1,1,2,0,3,burritos-wouter
20190822-2100-rockets-burritos,1,burritos,rockets,2,7,0,0,0,0,4,0,0,0,0,2,4,0,1,lostangels-carlotta
20190822-2100-rockets-burritos,1,burritos,rockets,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,lostangels-sophie
20190822-2100-rockets-burritos,1,burritos,rockets,1,2,0,0,0,0,2,0,3,3,0,1,1,0,0,timekeeper-naomi
20190829-1845-rockets-dropbears,0,rockets,dropbears,2,5,0,0,1,2,5,0,1,1,1,2,0,0,2,rockets-alex
20190829-1845-rockets-dropbears,0,rockets,dropbears,1,7,0,0,0,0,2,3,1,4,1,0,1,1,1,rockets-anna
20190829-1845-rockets-dropbears,0,rockets,dropbears,7,16,0,2,0,1,14,2,5,7,1,3,1,0,3,rockets-darnell
20190829-1845-rockets-dropbears,0,rockets,dropbears,4,11,2,5,2,4,12,2,7,9,4,5,4,0,0,rockets-janis
20190829-1845-rockets-dropbears,0,rockets,dropbears,0,3,0,0,0,0,0,0,1,1,2,0,1,0,0,rockets-patricia
20190829-1845-rockets-dropbears,0,rockets,dropbears,1,6,0,0,2,2,4,2,1,3,5,5,3,0,1,rockets-paul
20190829-1845-rockets-dropbears,0,rockets,dropbears,4,8,0,0,0,0,8,3,10,13,1,2,2,1,3,rockets-thriston
20190829-1845-rockets-dropbears,1,dropbears,rockets,1,3,0,2,0,0,2,1,3,4,0,2,0,0,0,burritos-tom
20190829-1845-rockets-dropbears,1,dropbears,rockets,2,5,0,0,1,2,5,0,2,2,0,2,2,0,0,dropbears-ed
20190829-1845-rockets-dropbears,1,dropbears,rockets,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,dropbears-hayley
20190829-1845-rockets-dropbears,1,dropbears,rockets,0,3,0,0,0,0,0,0,3,3,0,0,4,0,1,dropbears-jordan
20190829-1845-rockets-dropbears,1,dropbears,rockets,5,8,1,1,0,0,11,3,7,10,0,1,3,0,5,dropbears-martin
20190829-1845-rockets-dropbears,1,dropbears,rockets,0,13,0,5,0,0,0,1,0,1,0,1,6,0,0,dropbears-mary
20190829-1845-rockets-dropbears,1,dropbears,rockets,2,5,0,1,5,7,9,2,8,10,1,4,2,1,2,dropbears-ray
20190829-1845-rockets-dropbears,1,dropbears,rockets,0,7,0,2,0,0,0,0,2,2,0,1,3,0,0,lions-mychelle
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,9,14,4,5,0,0,22,0,7,7,6,2,2,0,1,burritos-alex
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,1,1,0,0,1,2,3,0,2,2,0,0,2,0,0,burritos-armelle
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,2,9,0,3,2,2,6,2,7,9,2,1,2,0,0,burritos-stuart
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,4,8,0,0,0,0,8,0,0,0,1,1,0,0,0,burritos-sylwia
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,5,5,4,4,2,2,16,0,5,5,10,2,5,0,1,burritos-tom
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,3,10,1,4,0,0,7,1,0,1,2,1,0,0,0,dropbears-mary
20190829-2015-burritos-camdenhells,0,burritos,camdenhells,4,7,1,1,0,0,9,1,4,5,1,1,0,0,1,greenmachine-ahmed
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,4,11,1,4,1,2,10,1,4,5,7,1,2,0,1,camdenhells-davidgalindo
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,3,6,0,0,0,0,6,0,1,1,2,0,3,0,1,camdenhells-lauren
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,4,11,0,0,0,0,8,1,3,4,2,2,1,0,1,camdenhells-nick
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,2,7,0,1,0,0,4,1,2,3,2,3,3,0,0,camdenhells-sean
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,2,7,0,0,0,0,4,2,5,7,1,2,1,3,1,lions-gus
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,6,7,0,0,0,0,12,0,4,4,0,0,0,0,1,lostangels-sophie
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,rockets-anna
20190829-2100-bbcballers-lions,0,bbcballers,lions,0,4,0,0,0,0,0,0,2,2,0,0,2,0,0,bbcballers-alexandra
20190829-2100-bbcballers-lions,0,bbcballers,lions,2,10,1,3,0,0,5,0,5,5,3,1,3,0,3,bbcballers-amir
20190829-2100-bbcballers-lions,0,bbcballers,lions,1,7,0,4,0,2,2,0,4,4,4,2,4,0,1,bbcballers-arthur
20190829-2100-bbcballers-lions,0,bbcballers,lions,1,4,0,0,0,0,2,2,2,4,0,0,1,1,0,bbcballers-james
20190829-2100-bbcballers-lions,0,bbcballers,lions,1,10,0,0,0,0,2,1,2,3,1,2,3,0,0,bbcballers-lisa
20190829-2100-bbcballers-lions,0,bbcballers,lions,0,1,0,1,0,0,0,1,3,4,0,0,1,0,1,bbcballers-suhail
20190829-2100-bbcballers-lions,0,bbcballers,lions,8,22,6,11,0,0,22,0,0,0,0,1,1,0,0,dropbears-mary
20190829-2100-bbcballers-lions,1,lions,bbcballers,4,11,0,0,0,0,8,2,1,3,0,1,1,0,1,camdenhells-lauren
20190829-2100-bbcballers-lions,1,lions,bbcballers,5,14,0,0,1,2,11,4,5,9,0,1,2,2,0,lions-gus
20190829-2100-bbcballers-lions,1,lions,bbcballers,9,36,0,3,6,6,24,4,3,7,3,5,3,0,0,lions-mychelle
20190829-2100-bbcballers-lions,1,lions,bbcballers,4,4,0,0,0,0,8,11,1,12,9,1,2,0,0,lions-obi
20190829-2100-bbcballers-lions,1,lions,bbcballers,2,4,0,0,1,2,5,2,21,23,4,1,2,1,1,lions-saulius
20190829-2100-bbcballers-lions,1,lions,bbcballers,4,10,0,0,0,0,8,4,4,8,3,1,0,0,1,lions-telle
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,10,14,3,5,0,0,23,1,7,8,3,0,2,0,2,burritos-alex
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,1,7,0,3,2,2,4,0,3,3,6,0,2,0,0,burritos-allen
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,3,5,0,0,0,0,6,1,0,1,1,1,2,0,1,burritos-armelle
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,3,9,3,6,1,4,10,3,8,11,2,3,5,0,2,burritos-stuart
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,1,7,0,3,0,0,2,1,1,2,0,2,3,0,0,burritos-suzi
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,2,7,0,0,0,0,4,0,1,1,0,0,0,0,0,burritos-sylwia
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,2,11,2,5,0,0,6,3,5,8,2,1,3,0,1,greenmachine-ahmed
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,3,8,0,0,1,2,7,1,8,9,2,1,4,1,3,greenmachine-alex
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,greenmachine-allison
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,6,13,0,1,0,2,12,2,4,6,3,2,3,0,0,greenmachine-iestyn
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,10,16,1,3,1,3,22,1,3,4,1,4,0,0,2,greenmachine-itai
