game_id,team_id,side_id,possession_id,first_event_id,first_event_type,first_player_id,first_on_court_player_id,cause_type,resolution_type,resolution_is_turnover,last_player_id,points_scored,opp_points_scored_next,second_chance_points,is_after_turnover,passes,players_involved,oreb,true_fga,true_3pa,fta,p1,p2,p3,p4,p5,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5
20191031-1845-hotshots-camdenhells,hotshots,0,15,6f4b8677-3ab4-4158-aabe-37710b66d5df,PlayerControl,hotshots-harrison,hotshots-harrison,TwoPointShotMissed,FreeThrowMissed,False,hotshots-harrison,0,1,0,False,0,1,0,1,0,2,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad,rockets-malachi,lostangels-rob,camdenhells-jess,rockets-anna,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,camdenhells,1,16,191d34a2-0065-4438-b869-7b194bedf747,PlayerControl,rockets-malachi,rockets-malachi,FreeThrowMissed,FreeThrowMade,False,rockets-malachi,1,0,0,False,3,3,0,1,0,2,rockets-malachi,lostangels-rob,camdenhells-jess,rockets-anna,greenmachine-ahmed,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad
20191031-1845-hotshots-camdenhells,hotshots,0,17,55e2a867-e7e0-4b28-a34b-f612c7ed0573,ThrowIn,hotshots-harrison,hotshots-sharad,FreeThrowMade,LostBall,True,hotshots-harrison,0,0,0,False,4,4,0,0,0,0,hotshots-marine,hotshots-weronika,hotshots-harrison,hotshots-daniel,hotshots-sharad,rockets-malachi,lostangels-rob,camdenhells-jess,rockets-anna,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,camdenhells,1,18,b118ec0e-bcf6-460c-a9a2-0a28a38b798b,Steal,lostangels-rob,lostangels-rob,LostBall,TwoPointShotMissed,False,rockets-malachi,0,2,0,True,5,6,2,3,0,2,rockets-malachi,lostangels-rob,camdenhells-jess,rockets-anna,greenmachine-ahmed,hotshots-marine,hotshots-harrison,hotshots-daniel,hotshots-sharad,dropbears-mary
20191031-1845-hotshots-camdenhells,hotshots,0,19,993b958a-631f-49f2-9b5f-66763af8c792,PlayerControl,hotshots-harrison,hotshots-harrison,TwoPointShotMissed,TwoPointShotMade,False,hotshots-harrison,2,0,0,False,0,1,0,1,0,0,hotshots-marine,hotshots-harrison,hotshots-daniel,hotshots-sharad,dropbears-mary,rockets-malachi,lostangels-rob,camdenhells-jess,rockets-anna,greenmachine-ahmed
20191031-1845-hotshots-camdenhells,camdenhells,1,20,ef6ce738-b204-4e20-a651-3f27bb40b7f6,ThrowIn,rockets-malachi,greenmachine-ahmed,TwoPointShotMade,DefensiveRebound,False,rockets-malachi,0,0,0,False,4,4,1,2,0,0,camdenhells-jess,rockets-anna,greenmachine-ahmed,lions-alfie,,hotshots-marine,hotshots-harrison,hotshots-daniel,hotshots-sharad,dropbears-mary
20191031-1845-hotshots-camdenhells,hotshots,0,21,106b8d0d-40bd-40b6-8b0e-9effeb6b67f4,ThrowIn,hotshots-harrison,hotshots-sharad,DefensiveRebound,TwoPointShotMissed,False,dropbears-mary,0,0,0,False,3,3,0,1,0,0,hotshots-marine,hotshots-daniel,hotshots-sharad,dropbears-mary,hotshots-martin,camdenhells-jess,rockets-anna,greenmachine-ahmed,lions-alfie,
20191031-1845-hotshots-camdenhells,camdenhells,1,22,456d6564-ac27-4870-bfa5-75f292ea3113,PlayerControl,rockets-malachi,rockets-malachi,TwoPointShotMissed,TwoPointShotMissed,False,lions-alfie,0,2,0,False,4,3,2,3,0,2,camdenhells-jess,rockets-anna,greenmachine-ahmed,lions-alfie,rockets-malachi,hotshots-marine,hotshots-daniel,hotshots-sharad,dropbears-mary,hotshots-martin
20191031-1845-hotshots-camdenhells,hotshots,0,23,40f988bd-0d9d-4d86-9f00-089a7a3eb592,PlayerControl,hotshots-martin,hotshots-martin,TwoPointShotMissed,TwoPointShotMade,False,hotshots-harrison,2,2,0,False,3,4,0,1,0,0,hotshots-marine,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison,camdenhells-jess,rockets-anna,greenmachine-ahmed,lions-alfie,rockets-malachi
20191031-1845-hotshots-camdenhells,camdenhells,1,24,35e68337-86a7-4f34-85f1-545fa2a5f004,ThrowIn,rockets-malachi,greenmachine-ahmed,TwoPointShotMade,TwoPointShotMade,False,rockets-anna,2,0,2,False,3,2,1,2,0,0,camdenhells-jess,rockets-anna,greenmachine-ahmed,lions-alfie,rockets-malachi,hotshots-marine,hotshots-sharad,dropbears-mary,hotshots-martin,hotshots-harrison
