team,player,3fga,3fgm,3fg%,2fga,2fgm,2fg%,fga,fgm,fg%,fta,ftm,ft%,pts,orb,drb,treb,ast,blk,to,stl,fol,a!,eff,tim
lostangels,lostangels-aldis,4,1,25%,8,3,38%,7,3,33%,7,3,0%,12,0,4,4,1,4,1,1,3,0,9,22:42
lostangels,lostangels-carlos,0,0,0%,6,4,67%,6,4,67%,0,0,25%,8,3,3,6,2,2,2,1,0,0,15,13:10
lostangels,lostangels-carlotta,0,0,0%,9,2,22%,9,2,22%,0,0,0%,4,0,0,0,6,0,1,2,0,0,4,15:40
lostangels,lostangels-daria,5,1,20%,2,2,100%,7,3,43%,0,0,0%,7,0,1,1,0,0,0,1,0,0,5,19:57
lostangels,lostangels-jazeps,2,1,50%,14,6,20%,16,7,44%,0,0,0%,15,6,2,8,6,0,0,4,1,0,24,00:26
lostangels,lostangels-john,0,0,0%,9,6,33%,9,6,67%,0,0,0%,12,4,9,13,4,0,2,3,0,0,27,19:51
lostangels,lostangels-sophie,0,0,0%,6,0,0%,6,0,0%,0,0,0%,0,0,7,7,1,1,1,0,1,0,2,17:49
lostangels,lostangels,11,3,27%,54,23,43%,65,26,40%,7,3,43%,58,13,26,39,20,7,7,12,5,0,86,26:43:00
bbcballers,bbcballers,8,1,13%,36,5,14%,44,6,14%,4,2,50%,15,7,19,26,1,0,15,1,4,0,-12,26:43:00
