team,player,3fga,3fgm,3fg%,2fga,2fgm,2fg%,fga,fgm,fg%,fta,ftm,ft%,pts,orb,drb,treb,ast,blk,to,stl,fol,a!,eff,tim,
lostangels,lostangels-aldis,4,2,50%,8,3,38%,12,5,42%,1,0,0%,12,2,4,6,0,0,0,0,1,0,10,16:02,
lostangels,lostangels-carlos,0,0,0%,10,7,70%,10,7,70%,0,0,0%,14,5,6,11,1,3,2,0,2,0,24,13:18,
lostangels,lostangels-carlotta,0,0,0%,8,2,25%,8,2,25%,0,0,0%,4,0,3,3,2,0,0,0,0,0,3,10:58,
lostangels,lostangels-daria,4,0,0%,0,0,0%,4,0,0%,0,0,0%,0,0,0,0,2,0,0,1,2,0,-1,13:31,
lostangels,lostangels-rob,2,1,50%,10,4,40%,12,5,42%,5,3,60%,14,2,4,6,2,0,4,1,0,0,10,16:21,
lostangels,lostangels-rolands,0,0,0%,4,1,25%,4,1,25%,0,0,0%,2,5,6,11,2,3,1,0,0,0,14,14:33,
lostangels,lostangels-sophie,0,0,0%,4,0,0%,4,0,0%,2,2,100%,2,0,0,0,2,0,1,2,2,0,1,15:45,
lostangels,lostangels,10,3,30%,44,17,39%,54,20,37%,8,5,63%,48,14,23,37,11,6,8,4,7,0,61,28:42,
dropbears,dropbears,12,3,25%,33,5,15%,45,8,18%,4,3,75%,22,9,17,26,2,3,10,4,12,0,9,28:42,
