id,game_id,team_id,player_id,type,utc_time,period_number,period_seconds,allows_annotation,is_main,sequence_number,parent_id,comment
d70f5af4-27ae-4b8d-8364-3d350f006d32,20190919-1845-burritos-bbcballers,bbcballers,bbcballers-james,DefensiveRebound,2019-09-29 12:36:26.973196,,,,1,220,b36f5e3a-02c4-4917-9e27-0cd822d50021,
d723c58c-4d1d-4497-8f43-4a00e0db7010,20190926-2015-burritos-dropbears,burritos,burritos-armelle,AutoSubstitutionOff,2019-09-28 13:46:54.941887,,,,,76,4769bd04-b40a-4a5f-9159-f5338bb5aaad,
d770115b-7f4c-43b3-9938-1edc3c4dff53,20190919-2100-lions-greenmachine,greenmachine,greenmachine-ahmed,AutoSubstitutionOn,2019-09-29 12:57:30.803556,,,,,2,575f233d-c07b-4dd4-bb85-0a5fdcc952f5,
d7897a71-ebdf-41d2-956a-ec3228deecc8,20190919-1845-burritos-bbcballers,burritos,burritos-sylwia,AutoSubstitutionOff,2019-09-29 12:15:53.202259,,,,,59,18cdd1ab-d474-4949-a39c-4dea7e64859e,
d79262c2-4972-4d19-81da-a43b3e54561d,20190919-2100-lions-greenmachine,lions,lions-foley,Steal,2019-09-29 13:24:36.883107,,,,1,221,eca1b526-4eb8-40ec-9340-71b12eac4117,
d7973647-97b1-4ab6-bddd-163be13d0c30,20190919-2100-lions-greenmachine,greenmachine,greenmachine-iestyn,FreeThrowMissed,2019-09-29 13:03:04.109743,,,,1,59,08d03575-b3e6-45c9-8a62-041943c17fb1,
d799ae9c-7276-49ab-8bcf-35941bf47667,20190926-2100-lostangels-lions,lions,lions-mychelle,AutoSubstitutionOn,2019-09-28 19:31:01.815433,,,,,113,9d2470c6-e44b-4f55-a175-fde0f8f4cfe3,
d86f1f54-b4d7-4158-93bd-16d720dad0bd,20190926-1930-camdenhells-bbcballers,camdenhells,rockets-anna,AutoSubstitutionOff,2019-09-29 10:38:01.530622,,,,,67,08efb682-45bf-4a02-87eb-c43dc8e70a6c,
d8d4a7b3-8d60-4ef2-9441-281a734551c2,20190926-1845-rockets-greenmachine,greenmachine,greenmachine-alex,FreeThrowMissed,2019-09-28 22:06:35.088706,,,,1,112,8e45aba1-218a-46a0-ae26-a67fec6b9a91,
d8d5ecc0-dd52-441b-b8d7-f6062d80b459,20190926-1930-camdenhells-bbcballers,bbcballers,bbcballers-lisa,TwoPointShotMissed,2019-09-29 11:15:31.232335,,,,1,294,1b80f996-da0b-4bbb-86a2-d49e06f2cb20,
