id,game_id,player_id,player_order,side_id
20190919-2100-lions-greenmachine-1-greenmachine-victoria,20190919-2100-lions-greenmachine,greenmachine-victoria,100,1
20190926-1845-rockets-greenmachine-0-camdenhells-aimee,20190926-1845-rockets-greenmachine,camdenhells-aimee,100,0
20190926-1845-rockets-greenmachine-0-rockets-alex,20190926-1845-rockets-greenmachine,rockets-alex,100,0
20190926-1845-rockets-greenmachine-0-rockets-anna,20190926-1845-rockets-greenmachine,rockets-anna,100,0
20190926-1845-rockets-greenmachine-0-rockets-janis,20190926-1845-rockets-greenmachine,rockets-janis,100,0
20190926-1845-rockets-greenmachine-0-rockets-malachi,20190926-1845-rockets-greenmachine,rockets-malachi,100,0
20190926-1845-rockets-greenmachine-0-rockets-marc,20190926-1845-rockets-greenmachine,rockets-marc,100,0
20190926-1845-rockets-greenmachine-0-rockets-paul,20190926-1845-rockets-greenmachine,rockets-paul,100,0
20190926-1845-rockets-greenmachine-1-greenmachine-ahmed,20190926-1845-rockets-greenmachine,greenmachine-ahmed,100,1
20190926-1845-rockets-greenmachine-1-greenmachine-alex,20190926-1845-rockets-greenmachine,greenmachine-alex,100,1
20190926-1845-rockets-greenmachine-1-greenmachine-allison,20190926-1845-rockets-greenmachine,greenmachine-allison,100,1
20190926-1845-rockets-greenmachine-1-greenmachine-andris,20190926-1845-rockets-greenmachine,greenmachine-andris,100,1
20190926-1845-rockets-greenmachine-1-greenmachine-david,20190926-1845-rockets-greenmachine,greenmachine-david,100,1
20190926-1845-rockets-greenmachine-1-greenmachine-iestyn,20190926-1845-rockets-greenmachine,greenmachine-iestyn,100,1
20190926-1845-rockets-greenmachine-1-greenmachine-marina,20190926-1845-rockets-greenmachine,greenmachine-marina,100,1
20190926-1845-rockets-greenmachine-1-greenmachine-sergio,20190926-1845-rockets-greenmachine,greenmachine-sergio,100,1
20190926-1845-rockets-greenmachine-1-greenmachine-victoria,20190926-1845-rockets-greenmachine,greenmachine-victoria,100,1
20190926-1930-camdenhells-bbcballers-0-camdenhells-aimee,20190926-1930-camdenhells-bbcballers,camdenhells-aimee,100,0
20190926-1930-camdenhells-bbcballers-0-camdenhells-davidgalindo,20190926-1930-camdenhells-bbcballers,camdenhells-davidgalindo,100,0
20190926-1930-camdenhells-bbcballers-0-camdenhells-lauren,20190926-1930-camdenhells-bbcballers,camdenhells-lauren,100,0
20190926-1930-camdenhells-bbcballers-0-camdenhells-levent,20190926-1930-camdenhells-bbcballers,camdenhells-levent,100,0
20190926-1930-camdenhells-bbcballers-0-rockets-anna,20190926-1930-camdenhells-bbcballers,rockets-anna,100,0
20190926-1930-camdenhells-bbcballers-0-rockets-malachi,20190926-1930-camdenhells-bbcballers,rockets-malachi,100,0
20190926-1930-camdenhells-bbcballers-1-bbcballers-arthur,20190926-1930-camdenhells-bbcballers,bbcballers-arthur,100,1
20190926-1930-camdenhells-bbcballers-1-bbcballers-james,20190926-1930-camdenhells-bbcballers,bbcballers-james,100,1
20190926-1930-camdenhells-bbcballers-1-bbcballers-lisa,20190926-1930-camdenhells-bbcballers,bbcballers-lisa,100,1
20190926-1930-camdenhells-bbcballers-1-bbcballers-suhail,20190926-1930-camdenhells-bbcballers,bbcballers-suhail,100,1
20190926-1930-camdenhells-bbcballers-1-kissmygrass-steph,20190926-1930-camdenhells-bbcballers,kissmygrass-steph,100,1
20190926-1930-camdenhells-bbcballers-1-lions-mychelle,20190926-1930-camdenhells-bbcballers,lions-mychelle,100,1
20190926-2015-burritos-dropbears-0-burritos-alex,20190926-2015-burritos-dropbears,burritos-alex,100,0
20190926-2015-burritos-dropbears-0-burritos-allen,20190926-2015-burritos-dropbears,burritos-allen,100,0
20190926-2015-burritos-dropbears-0-burritos-armelle,20190926-2015-burritos-dropbears,burritos-armelle,100,0
20190926-2015-burritos-dropbears-0-burritos-stuart,20190926-2015-burritos-dropbears,burritos-stuart,100,0
20190926-2015-burritos-dropbears-0-burritos-suzi,20190926-2015-burritos-dropbears,burritos-suzi,100,0
20190926-2015-burritos-dropbears-0-burritos-sylwia,20190926-2015-burritos-dropbears,burritos-sylwia,100,0
20190926-2015-burritos-dropbears-0-burritos-tom,20190926-2015-burritos-dropbears,burritos-tom,100,0
20190926-2015-burritos-dropbears-0-burritos-wouter,20190926-2015-burritos-dropbears,burritos-wouter,100,0
20190926-2015-burritos-dropbears-1-dropbears-ed,20190926-2015-burritos-dropbears,dropbears-ed,100,1
20190926-2015-burritos-dropbears-1-dropbears-hayley,20190926-2015-burritos-dropbears,dropbears-hayley,100,1
20190926-2015-burritos-dropbears-1-dropbears-martin,20190926-2015-burritos-dropbears,dropbears-martin,100,1
20190926-2015-burritos-dropbears-1-dropbears-mary,20190926-2015-burritos-dropbears,dropbears-mary,100,1
20190926-2015-burritos-dropbears-1-dropbears-p2,20190926-2015-burritos-dropbears,dropbears-p2,100,1
20190926-2015-burritos-dropbears-1-dropbears-ray,20190926-2015-burritos-dropbears,dropbears-ray,100,1
20190926-2015-burritos-dropbears-1-lions-mychelle,20190926-2015-burritos-dropbears,lions-mychelle,100,1
20190926-2100-lostangels-lions-0-lostangels-aldis,20190926-2100-lostangels-lions,lostangels-aldis,100,0
20190926-2100-lostangels-lions-0-lostangels-carlos,20190926-2100-lostangels-lions,lostangels-carlos,100,0
20190926-2100-lostangels-lions-0-lostangels-daria,20190926-2100-lostangels-lions,lostangels-daria,100,0
20190926-2100-lostangels-lions-0-lostangels-jazeps,20190926-2100-lostangels-lions,lostangels-jazeps,100,0
20190926-2100-lostangels-lions-0-lostangels-rob,20190926-2100-lostangels-lions,lostangels-rob,100,0
20190926-2100-lostangels-lions-0-lostangels-rolands,20190926-2100-lostangels-lions,lostangels-rolands,100,0
20190926-2100-lostangels-lions-0-saturdays-claire,20190926-2100-lostangels-lions,saturdays-claire,100,0
20190926-2100-lostangels-lions-1-camdenhells-lauren,20190926-2100-lostangels-lions,camdenhells-lauren,100,1
20190926-2100-lostangels-lions-1-lions-diego,20190926-2100-lostangels-lions,lions-diego,100,1
20190926-2100-lostangels-lions-1-lions-foley,20190926-2100-lostangels-lions,lions-foley,100,1
20190926-2100-lostangels-lions-1-lions-gus,20190926-2100-lostangels-lions,lions-gus,100,1
20190926-2100-lostangels-lions-1-lions-kata,20190926-2100-lostangels-lions,lions-kata,100,1
20190926-2100-lostangels-lions-1-lions-mychelle,20190926-2100-lostangels-lions,lions-mychelle,100,1
20190926-2100-lostangels-lions-1-lions-telle,20190926-2100-lostangels-lions,lions-telle,100,1
20191003-1845-burritos-rockets-0-burritos-alex,20191003-1845-burritos-rockets,burritos-alex,0,0
20191003-1845-burritos-rockets-0-burritos-allen,20191003-1845-burritos-rockets,burritos-allen,0,0
20191003-1845-burritos-rockets-0-burritos-armelle,20191003-1845-burritos-rockets,burritos-armelle,0,0
20191003-1845-burritos-rockets-0-burritos-stuart,20191003-1845-burritos-rockets,burritos-stuart,0,0
20191003-1845-burritos-rockets-0-burritos-sylwia,20191003-1845-burritos-rockets,burritos-sylwia,0,0
20191003-1845-burritos-rockets-0-burritos-wouter,20191003-1845-burritos-rockets,burritos-wouter,0,0
20191003-1845-burritos-rockets-1-rockets-alex,20191003-1845-burritos-rockets,rockets-alex,0,1
20191003-1845-burritos-rockets-1-rockets-anna,20191003-1845-burritos-rockets,rockets-anna,0,1
20191003-1845-burritos-rockets-1-rockets-darnell,20191003-1845-burritos-rockets,rockets-darnell,0,1
20191003-1845-burritos-rockets-1-rockets-janis,20191003-1845-burritos-rockets,rockets-janis,0,1
20191003-1845-burritos-rockets-1-rockets-malachi,20191003-1845-burritos-rockets,rockets-malachi,0,1
20191003-1845-burritos-rockets-1-rockets-marc,20191003-1845-burritos-rockets,rockets-marc,0,1
20191003-1845-burritos-rockets-1-rockets-patricia,20191003-1845-burritos-rockets,rockets-patricia,0,1
20191003-1845-burritos-rockets-1-rockets-paul,20191003-1845-burritos-rockets,rockets-paul,0,1
20191003-1930-lostangels-dropbears-0-lostangels-aldis,20191003-1930-lostangels-dropbears,lostangels-aldis,0,0
20191003-1930-lostangels-dropbears-0-lostangels-carlos,20191003-1930-lostangels-dropbears,lostangels-carlos,0,0
20191003-1930-lostangels-dropbears-0-lostangels-carlotta,20191003-1930-lostangels-dropbears,lostangels-carlotta,0,0
20191003-1930-lostangels-dropbears-0-lostangels-daria,20191003-1930-lostangels-dropbears,lostangels-daria,0,0
20191003-1930-lostangels-dropbears-0-lostangels-jazeps,20191003-1930-lostangels-dropbears,lostangels-jazeps,0,0
20191003-1930-lostangels-dropbears-0-lostangels-john,20191003-1930-lostangels-dropbears,lostangels-john,0,0
20191003-1930-lostangels-dropbears-0-lostangels-rolands,20191003-1930-lostangels-dropbears,lostangels-rolands,0,0
20191003-1930-lostangels-dropbears-0-lostangels-sophie,20191003-1930-lostangels-dropbears,lostangels-sophie,0,0
20191003-1930-lostangels-dropbears-1-dropbears-ed,20191003-1930-lostangels-dropbears,dropbears-ed,0,1
20191003-1930-lostangels-dropbears-1-dropbears-hayley,20191003-1930-lostangels-dropbears,dropbears-hayley,0,1
20191003-1930-lostangels-dropbears-1-dropbears-martin,20191003-1930-lostangels-dropbears,dropbears-martin,0,1
20191003-1930-lostangels-dropbears-1-dropbears-mary,20191003-1930-lostangels-dropbears,dropbears-mary,0,1
20191003-1930-lostangels-dropbears-1-dropbears-p2,20191003-1930-lostangels-dropbears,dropbears-p2,0,1
20191003-1930-lostangels-dropbears-1-dropbears-ray,20191003-1930-lostangels-dropbears,dropbears-ray,0,1
20191003-2015-camdenhells-greenmachine-0-camdenhells-aimee,20191003-2015-camdenhells-greenmachine,camdenhells-aimee,0,0
20191003-2015-camdenhells-greenmachine-0-camdenhells-davidgalindo,20191003-2015-camdenhells-greenmachine,camdenhells-davidgalindo,0,0
20191003-2015-camdenhells-greenmachine-0-camdenhells-lauren,20191003-2015-camdenhells-greenmachine,camdenhells-lauren,0,0
